Close,High,Low,Open,Volume,Target,SMA-10,SMA-50,SMA-200,RSI,MACD,Signal_Line
9.54639720916748,9.576416408595746,9.435022035300657,9.560506585613135,1093010800,0,8.977544975280761,8.119300479888915,7.369384548664093,82.03705071546277,0.3214078260325266,0.264016621825648
9.290925025939941,9.41941084987622,9.006634849511935,9.108102753719557,1232784000,1,9.039236164093017,8.147963647842408,7.383716144561768,69.54055567965857,0.32167892468602766,0.27554908239772397
9.322147369384766,9.433822364210355,9.212274424565047,9.276216738074089,721624400,0,9.103299140930176,8.178656234741212,7.39814831495285,74.78716040786635,0.32071613849635305,0.2845824936174498
9.291825294494629,9.448529857464793,9.21017032430133,9.377081958951525,551460000,0,9.164239692687989,8.214278116226197,7.412940711975097,75.09297126600352,0.31388807908589733,0.29044361071113933
9.230283737182617,9.307435185688309,9.1951606051819,9.278315411796765,372778000,1,9.204466819763184,8.247708473205567,7.427483956813813,77.73698556114462,0.30005208974414366,0.29236530651774023
9.271413803100586,9.35426882733236,9.259405480042197,9.27891940582393,392462000,0,9.244934272766113,8.28357653617859,7.442022709846497,73.11792718823533,0.28907356101976944,0.29170695741814606
9.247698783874512,9.298432747547729,9.17564964546207,9.212275031647119,392929600,0,9.273483657836914,8.319846878051758,7.456723563671112,71.63833233467022,0.27528606762486163,0.2884227794594892
9.241093635559082,9.303234700944827,9.174148439510445,9.235689890389958,399002800,0,9.296569442749023,8.353385362625122,7.471750156879425,71.25874755228209,0.260819830852979,0.28290218973818715
9.163339614868164,9.246194616610637,9.033052551543227,9.244693175824022,551051200,0,9.305365371704102,8.38470832824707,7.485948166847229,63.45455658615728,0.24031097895832154,0.274383947582214
9.035451889038086,9.182550575256911,9.032149200838994,9.133017466880677,430511200,1,9.264057636260986,8.415388832092285,7.499689857959748,56.31736672351683,0.21130233363038187,0.2617676247918476
9.131516456604004,9.174145185081338,9.072076884076532,9.072677299993444,423889200,1,9.222569561004638,8.448134689331054,7.514437236785889,56.33695031410622,0.19383002904958602,0.24818010564339532
9.287023544311523,9.311940413102263,9.21617684525233,9.21617684525233,433930000,1,9.222179412841797,8.486296253204346,7.528594725131988,59.58815907794994,0.19033713611480962,0.2366115117376782
9.390294075012207,9.392695739695116,9.262108028245027,9.347364719617088,508348400,1,9.22899408340454,8.530047636032105,7.543765397071838,60.62814013743382,0.19366955992705037,0.22802312137555264
9.5545015335083,9.611840058832474,9.457235745163402,9.4698444811105,642488000,0,9.255261707305909,8.575305967330932,7.560306477546692,54.163718989436326,0.20717254325054846,0.2238530057505518
9.520279884338379,9.593529048654386,9.50887277953825,9.54609777782382,361253200,1,9.284261322021484,8.621446914672852,7.57822548866272,48.91980884253175,0.21266093089785087,0.2216145907800116
9.565007209777832,9.599529922856235,9.509169330657663,9.522378480941088,281758400,0,9.313620662689209,8.667677879333496,7.595569591522217,63.72914325896372,0.21810545509078771,0.22091276364216683
9.488758087158203,9.645463470918607,9.441326822090709,9.637957869424126,383544000,1,9.337726593017578,8.71185546875,7.6121016693115235,57.98553403578827,0.21380302460459077,0.21949081583465163
9.5472993850708,9.569513981970408,9.41280856644934,9.505570861629364,384227200,0,9.36834716796875,8.756843671798705,7.628635251522065,61.92219093022676,0.21266563389071713,0.21812577944586475
9.505870819091797,9.55840602405252,9.433821690572131,9.4563368929301,361284000,0,9.402600288391113,8.79666235923767,7.646251058578491,63.10684719760373,0.20604613295256868,0.21570985014720556
9.247096061706543,9.501366254873277,9.115008534581033,9.486356654764656,795846800,0,9.423764705657959,8.830200853347778,7.663658227920532,49.041819637079655,0.1778688096004668,0.20814164203785784
9.217375755310059,9.322446152152747,9.194260139744905,9.260004490381625,403606000,0,9.432350635528564,8.859182195663452,7.6805160212516785,48.81082391098159,0.15139471347701416,0.19679225632568914
9.053767204284668,9.23418783029684,8.985621180543971,9.177750321116273,657650000,0,9.40902500152588,8.885467805862426,7.696386153697968,43.45910349631907,0.11587621001100779,0.18060904706275288
9.021045684814453,9.125815486254169,8.938790284189109,9.042059446223979,479449600,1,9.372100162506104,8.90803092956543,7.711586840152741,44.87018514723902,0.08411753240883613,0.16131074413196952
9.259100914001465,9.296325894726742,9.146826357604592,9.162135759200117,494491200,0,9.34256010055542,8.935265159606933,7.729055521488189,57.46941848784033,0.07726693396725182,0.144501982099026
9.208072662353516,9.258206212820905,9.163342857708011,9.245297665280509,384843200,1,9.311339378356934,8.961274642944336,7.74575722694397,52.63612104844551,0.06694849136484038,0.1289912839521889
9.40710735321045,9.40710735321045,9.18225666897631,9.206572325656575,393075200,0,9.295549392700195,8.989085311889648,7.76365523815155,54.01459854014599,0.07397870692857644,0.11798876854746641
9.268108367919922,9.358770378529892,9.202965238685023,9.31974334015126,519447600,1,9.273484420776366,9.0135036277771,7.780547547340393,46.01043904134202,0.06755541024532263,0.10790209688703765
9.450334548950195,9.468347034948989,9.358773884139508,9.366277884203358,413725200,1,9.263787937164306,9.040269660949708,7.798511600494384,46.638335537982655,0.07628961206860296,0.10157959992335072
9.456338882446289,9.537393467663302,9.394497615976434,9.418513462786601,237585600,1,9.258834743499756,9.063343200683594,7.815972812175751,47.89822502568951,0.08274222856723057,0.0978121256521267
9.512476921081543,9.53078841370307,9.347666272873544,9.471348810043587,445785200,0,9.285372829437256,9.088259983062745,7.833458037376404,48.28615771008118,0.09133301405053906,0.09651630333180919
9.340761184692383,9.437125978524454,9.33235535808503,9.412508914888635,501858000,1,9.297711372375488,9.105023231506348,7.849631378650665,45.454630661282025,0.08332473294743714,0.09387798925493479
